mx,my,yaw,cmd
-2.21, -6.836,180,
-2.21,-5,180.0,
-2.21,-4,180.0,
-2.21, -3,180,
-2.21, -2,180,
-2.21,-1,180.0,
-2.21,2,180.0,
-2.21,4,180.0,
-2.21,6,180,
