waypoint_line,left_x,left_y,right_x,right_y
2,192.375,-76.225,189.486,-77.18
3,196.675,-85.275,193.675,-86.725
4,200.836,-94.525,197.591,-96.547
5,205.125,-104.675,201.675,-105.975
6,209.42,-114.233,205.749,-115.655
7,213.325,-123.275,210.568,-124.754
8,218.029,-132.728,215.175,-134.625

